Ticker,Signal,Magnitude,Confirm_Score,Signal_Date,Latest_Close,Stop_Loss,Target,Risk_Reward,Exit_Plan,52Wk_High,Range_High_60d,Range_Low_60d,ATR,RSI_14,ADX,EMA9,EMA21,EMA50,BB_Bandwidth,BB_Squeeze,Momentum_5d_%,Vol_Today_INR,Vol_20d_Avg_INR,Vol_Spike_Ratio,OBV_Position_%,✓_1_MACD,✓_2_ADX,✓_3_BollingerBand,✓_4_EMA_Stack,✓_5_Impulsive,✓_6_RSI,✓_7_Vol_Spike,✓_8_Vol_DryUp,✓_9_Vol_Rising,✓_10_OBV
KSB,BUY,1-Year Breakout,9/10,2026-04-01,828.2,807.68,869.25,1:3.0,"[HIGH CONVICTION | Hold up to 15–30 trading days] ① Hard stop: EXIT if close < ₹807.68 (loss capped at ₹20.52/share). ② Breakeven: Move stop to ₹828.2 once price hits ₹848.72 (+1.5×ATR — free trade). ③ Trail: Once price hits ₹862.41 (+2.5×ATR), trail stop to 1.5×ATR below current price (initially ₹841.89); keep trailing on every new high. ④ Super-Trend: Once price hits +3.0×ATR (₹869.25), the trailing stop loosens to lock in a massive trend. It will trail exactly 10% below the stock's highs (i.e. stop loss moves to 90% of the active price). ⑤ Time stop: If price hasn't moved >₹6.84 by 08 Apr 2026, EXIT — capital wasted.",884.1,812.0,680.0,13.68,67.5,25.3,778.53,758.72,757.79,13.59,No,5.79,₹7399.8Cr,₹1857.7Cr,3.98,100%,✓ Bullish,✓ 25.3 (strong trend),✓ Squeeze / price above upper band,✓ Bullish (price>9>21>50),✓ Impulsive candle (size 31.35 >= 1.5 ATR),✓ 67.5 (bullish momentum zone),✓ 4.0× avg (₹7399.8Cr vs avg ₹1857.7Cr),✗ Pre-breakout vol was 108% of 20d avg (no dry-up),✓ Volume trending rising into breakout (5d slope: +₹493.9Cr/day),✓ OBV at 100% of 20d range (money flowing IN)
ADANIPOWER,BUY,1-Year Breakout,8/10,2026-04-01,157.11,152.08,167.18,1:3.0,"[HIGH CONVICTION | Hold up to 15–30 trading days] ① Hard stop: EXIT if close < ₹152.08 (loss capped at ₹5.03/share). ② Breakeven: Move stop to ₹157.11 once price hits ₹162.14 (+1.5×ATR — free trade). ③ Trail: Once price hits ₹165.5 (+2.5×ATR), trail stop to 1.5×ATR below current price (initially ₹160.47); keep trailing on every new high. ④ Super-Trend: Once price hits +3.0×ATR (₹167.18), the trailing stop loosens to lock in a massive trend. It will trail exactly 10% below the stock's highs (i.e. stop loss moves to 90% of the active price). ⑤ Time stop: If price hasn't moved >₹1.68 by 08 Apr 2026, EXIT — capital wasted.",170.78,155.6,132.96,3.36,69.3,32.3,149.06,146.38,144.07,18.69,No,6.26,₹1403.7Cr,₹353.0Cr,3.98,100%,✓ Bullish,✓ 32.3 (strong trend),✗ No squeeze or band expansion,✓ Bullish (price>9>21>50),✓ Impulsive candle (size 6.68 >= 1.5 ATR),✓ 69.3 (bullish momentum zone),✓ 4.0× avg (₹1403.7Cr vs avg ₹353.0Cr),✗ Pre-breakout vol was 108% of 20d avg (no dry-up),✓ Volume trending rising into breakout (5d slope: +₹94.1Cr/day),✓ OBV at 100% of 20d range (money flowing IN)
INOXINDIA,BUY,1-Year Breakout,8/10,2026-04-01,1245.1,1207.31,1320.68,1:3.0,"[HIGH CONVICTION | Hold up to 15–30 trading days] ① Hard stop: EXIT if close < ₹1207.31 (loss capped at ₹37.79/share). ② Breakeven: Move stop to ₹1245.1 once price hits ₹1282.89 (+1.5×ATR — free trade). ③ Trail: Once price hits ₹1308.08 (+2.5×ATR), trail stop to 1.5×ATR below current price (initially ₹1270.29); keep trailing on every new high. ④ Super-Trend: Once price hits +3.0×ATR (₹1320.68), the trailing stop loosens to lock in a massive trend. It will trail exactly 10% below the stock's highs (i.e. stop loss moves to 90% of the active price). ⑤ Time stop: If price hasn't moved >₹12.6 by 08 Apr 2026, EXIT — capital wasted.",1266.9,1238.8,1073.4,25.19,57.4,13.0,1181.84,1163.78,1157.43,10.66,No,7.07,₹11124.7Cr,₹2823.0Cr,3.94,82%,✓ Bullish,✗ 13.0 (weak / choppy),✓ Squeeze / price above upper band,✓ Bullish (price>9>21>50),✓ Impulsive candle (size 70.10 >= 1.5 ATR),✓ 57.4 (bullish momentum zone),✓ 3.9× avg (₹11124.7Cr vs avg ₹2823.0Cr),✗ Pre-breakout vol was 106% of 20d avg (no dry-up),✓ Volume trending rising into breakout (5d slope: +₹725.7Cr/day),✓ OBV at 82% of 20d range (money flowing IN)
NLCINDIA,BUY,1-Year Breakout,8/10,2026-04-01,283.2,273.51,302.58,1:3.0,"[HIGH CONVICTION | Hold up to 15–30 trading days] ① Hard stop: EXIT if close < ₹273.51 (loss capped at ₹9.69/share). ② Breakeven: Move stop to ₹283.2 once price hits ₹292.89 (+1.5×ATR — free trade). ③ Trail: Once price hits ₹299.35 (+2.5×ATR), trail stop to 1.5×ATR below current price (initially ₹289.66); keep trailing on every new high. ④ Super-Trend: Once price hits +3.0×ATR (₹302.58), the trailing stop loosens to lock in a massive trend. It will trail exactly 10% below the stock's highs (i.e. stop loss moves to 90% of the active price). ⑤ Time stop: If price hasn't moved >₹3.23 by 08 Apr 2026, EXIT — capital wasted.",285.32,274.1,239.75,6.46,71.0,13.8,262.63,259.13,256.31,15.35,No,11.58,₹2530.3Cr,₹622.4Cr,4.07,100%,✓ Bullish,✗ 13.8 (weak / choppy),✓ Squeeze / price above upper band,✓ Bullish (price>9>21>50),✓ Impulsive candle (size 14.60 >= 1.5 ATR),✓ 71.0 (bullish momentum zone),✓ 4.1× avg (₹2530.3Cr vs avg ₹622.4Cr),✗ Pre-breakout vol was 107% of 20d avg (no dry-up),✓ Volume trending rising into breakout (5d slope: +₹173.3Cr/day),✓ OBV at 100% of 20d range (money flowing IN)
ONGC,BUY,1-Year Breakout,8/10,2026-04-01,288.05,283.03,298.09,1:3.0,"[HIGH CONVICTION | Hold up to 15–30 trading days] ① Hard stop: EXIT if close < ₹283.03 (loss capped at ₹5.02/share). ② Breakeven: Move stop to ₹288.05 once price hits ₹293.07 (+1.5×ATR — free trade). ③ Trail: Once price hits ₹296.42 (+2.5×ATR), trail stop to 1.5×ATR below current price (initially ₹291.4); keep trailing on every new high. ④ Super-Trend: Once price hits +3.0×ATR (₹298.09), the trailing stop loosens to lock in a massive trend. It will trail exactly 10% below the stock's highs (i.e. stop loss moves to 90% of the active price). ⑤ Time stop: If price hasn't moved >₹1.67 by 08 Apr 2026, EXIT — capital wasted.",288.05,284.65,231.42,3.35,70.1,27.0,272.82,266.81,259.27,11.37,No,8.51,₹2573.7Cr,₹655.1Cr,3.93,100%,✓ Bullish,✓ 27.0 (strong trend),✓ Squeeze / price above upper band,✓ Bullish (price>9>21>50),✗ Weak candle (size 3.40 < 1.5 ATR),✓ 70.1 (bullish momentum zone),✓ 3.9× avg (₹2573.7Cr vs avg ₹655.1Cr),✗ Pre-breakout vol was 107% of 20d avg (no dry-up),✓ Volume trending rising into breakout (5d slope: +₹185.4Cr/day),✓ OBV at 100% of 20d range (money flowing IN)
GPIL,BUY,1-Year Breakout,7/10,2026-04-01,278.65,266.46,303.02,1:3.0,"[GOOD SETUP | Hold up to 8–15 trading days] ① Hard stop: EXIT if close < ₹266.46 (loss capped at ₹12.19/share). ② Breakeven: Move stop to ₹278.65 once price hits ₹290.84 (+1.5×ATR — free trade). ③ Trail: Once price hits ₹298.96 (+2.5×ATR), trail stop to 1.5×ATR below current price (initially ₹286.77); keep trailing on every new high. ④ Super-Trend: Once price hits +3.0×ATR (₹303.02), the trailing stop loosens to lock in a massive trend. It will trail exactly 10% below the stock's highs (i.e. stop loss moves to 90% of the active price). ⑤ Time stop: If price hasn't moved >₹4.06 by 08 Apr 2026, EXIT — capital wasted.",283.74,277.3,239.05,8.12,60.9,18.0,262.72,259.49,254.33,15.36,No,10.64,₹2489.7Cr,₹621.1Cr,4.01,100%,✓ Bullish,✗ 18.0 (weak / choppy),✓ Squeeze / price above upper band,✓ Bullish (price>9>21>50),✗ Weak candle (size 9.85 < 1.5 ATR),✓ 60.9 (bullish momentum zone),✓ 4.0× avg (₹2489.7Cr vs avg ₹621.1Cr),✗ Pre-breakout vol was 108% of 20d avg (no dry-up),✓ Volume trending rising into breakout (5d slope: +₹174.2Cr/day),✓ OBV at 100% of 20d range (money flowing IN)
THERMAX,BUY (below 52wk zone),1-Year Breakout,7/10,2026-04-01,3345.4,3269.45,3497.31,1:3.0,"[GOOD SETUP | Hold up to 8–15 trading days] ① Hard stop: EXIT if close < ₹3269.45 (loss capped at ₹75.95/share). ② Breakeven: Move stop to ₹3345.4 once price hits ₹3421.35 (+1.5×ATR — free trade). ③ Trail: Once price hits ₹3471.99 (+2.5×ATR), trail stop to 1.5×ATR below current price (initially ₹3396.04); keep trailing on every new high. ④ Super-Trend: Once price hits +3.0×ATR (₹3497.31), the trailing stop loosens to lock in a massive trend. It will trail exactly 10% below the stock's highs (i.e. stop loss moves to 90% of the active price). ⑤ Time stop: If price hasn't moved >₹25.32 by 08 Apr 2026, EXIT — capital wasted.",5214.95,3279.2,2795.2,50.64,62.2,14.8,3189.06,3110.33,3095.43,10.45,No,7.88,₹29890.3Cr,₹7648.2Cr,3.91,100%,✓ Bullish,✗ 14.8 (weak / choppy),✗ No squeeze or band expansion,✓ Bullish (price>9>21>50),✓ Impulsive candle (size 84.70 >= 1.5 ATR),✓ 62.2 (bullish momentum zone),✓ 3.9× avg (₹29890.3Cr vs avg ₹7648.2Cr),✗ Pre-breakout vol was 106% of 20d avg (no dry-up),✓ Volume trending rising into breakout (5d slope: +₹2069.0Cr/day),✓ OBV at 100% of 20d range (money flowing IN)
ASTERDM,BUY,1-Year Breakout,6/10,2026-04-01,687.9,667.3,729.11,1:3.0,"[GOOD SETUP | Hold up to 8–15 trading days] ① Hard stop: EXIT if close < ₹667.3 (loss capped at ₹20.6/share). ② Breakeven: Move stop to ₹687.9 once price hits ₹708.5 (+1.5×ATR — free trade). ③ Trail: Once price hits ₹722.24 (+2.5×ATR), trail stop to 1.5×ATR below current price (initially ₹701.64); keep trailing on every new high. ④ Super-Trend: Once price hits +3.0×ATR (₹729.11), the trailing stop loosens to lock in a massive trend. It will trail exactly 10% below the stock's highs (i.e. stop loss moves to 90% of the active price). ⑤ Time stop: If price hasn't moved >₹6.87 by 08 Apr 2026, EXIT — capital wasted.",722.95,685.9,537.95,13.74,55.8,14.8,651.78,636.11,628.54,11.54,No,10.72,₹6146.2Cr,₹1583.7Cr,3.88,100%,✓ Bullish,✗ 14.8 (weak / choppy),✗ No squeeze or band expansion,✓ Bullish (price>9>21>50),✗ Weak candle (size 17.90 < 1.5 ATR),✓ 55.8 (bullish momentum zone),✓ 3.9× avg (₹6146.2Cr vs avg ₹1583.7Cr),✗ Pre-breakout vol was 104% of 20d avg (no dry-up),✓ Volume trending rising into breakout (5d slope: +₹438.6Cr/day),✓ OBV at 100% of 20d range (money flowing IN)
AUROPHARMA,BUY,1-Year Breakout,6/10,2026-04-01,1342.1,1314.05,1398.2,1:3.0,"[GOOD SETUP | Hold up to 8–15 trading days] ① Hard stop: EXIT if close < ₹1314.05 (loss capped at ₹28.05/share). ② Breakeven: Move stop to ₹1342.1 once price hits ₹1370.15 (+1.5×ATR — free trade). ③ Trail: Once price hits ₹1388.85 (+2.5×ATR), trail stop to 1.5×ATR below current price (initially ₹1360.8); keep trailing on every new high. ④ Super-Trend: Once price hits +3.0×ATR (₹1398.2), the trailing stop loosens to lock in a massive trend. It will trail exactly 10% below the stock's highs (i.e. stop loss moves to 90% of the active price). ⑤ Time stop: If price hasn't moved >₹9.35 by 08 Apr 2026, EXIT — capital wasted.",1353.25,1314.2,1121.7,18.7,68.1,39.5,1269.93,1232.25,1203.04,12.4,No,3.93,₹11991.3Cr,₹2778.8Cr,4.32,100%,✓ Bullish,✓ 39.5 (strong trend),✗ No squeeze or band expansion,✓ Bullish (price>9>21>50),✗ Weak candle (size 27.90 < 1.5 ATR),✓ 68.1 (bullish momentum zone),✓ 4.3× avg (₹11991.3Cr vs avg ₹2778.8Cr),✗ Pre-breakout vol was 106% of 20d avg (no dry-up),✗ Volume was falling/flat before breakout (5d slope: -₹563.3Cr/day),✓ OBV at 100% of 20d range (money flowing IN)
HONASA,BUY,1-Year Breakout,6/10,2026-04-01,307.45,297.35,327.66,1:3.0,"[GOOD SETUP | Hold up to 8–15 trading days] ① Hard stop: EXIT if close < ₹297.35 (loss capped at ₹10.1/share). ② Breakeven: Move stop to ₹307.45 once price hits ₹317.55 (+1.5×ATR — free trade). ③ Trail: Once price hits ₹324.29 (+2.5×ATR), trail stop to 1.5×ATR below current price (initially ₹314.19); keep trailing on every new high. ④ Super-Trend: Once price hits +3.0×ATR (₹327.66), the trailing stop loosens to lock in a massive trend. It will trail exactly 10% below the stock's highs (i.e. stop loss moves to 90% of the active price). ⑤ Time stop: If price hasn't moved >₹3.37 by 08 Apr 2026, EXIT — capital wasted.",381.4,307.4,264.05,6.74,59.8,24.1,289.86,288.3,286.27,15.77,No,9.39,₹2747.0Cr,₹688.9Cr,3.99,100%,✓ Bullish,✗ 24.1 (weak / choppy),✗ No squeeze or band expansion,✓ Bullish (price>9>21>50),✗ Weak candle (size 9.20 < 1.5 ATR),✓ 59.8 (bullish momentum zone),✓ 4.0× avg (₹2747.0Cr vs avg ₹688.9Cr),✗ Pre-breakout vol was 107% of 20d avg (no dry-up),✓ Volume trending rising into breakout (5d slope: +₹192.3Cr/day),✓ OBV at 100% of 20d range (money flowing IN)
